Registro ANS,Razão Social,Nome Fantasia,CNPJ,registro_ans,cnpj,razao_social,nome_fantasia,ativa,email,site,representante_nome,representante_cargo,autorizacao_funcionamento_em,concessao_registro_definitivo_em,registrada_em,classificacao_sigla,classificacao_nome,segmentacao_sigla,segmentacao_nome,endereco_logradouro,endereco_numero,endereco_complemento,endereco_bairro,endereco_cep,endereco_municipio_codigo,endereco_municipio_nome,endereco_uf_sigla,endereco_valido,telefone_ddd,telefone_numero,fax_ddd,fax_numero,_links,erro
419907,AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA,AFFIANCE LIFE BENEFÍCIOS,22.891.640/0001-71,419907,22891640000171,AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA,AFFIANCE LIFE BENEFÍCIOS,True,atendimento@affiancelife.com.br,www.affiancelife.com.br,FABIANA DA SILVA CARDOSO,ADMINISTRADORA NÃO SÓCIA,2015-09-28,2015-09-23,2015-09-23,ADMBN,Administradora de Benefícios,,,AVENIDA FONSO PENA ,867,23º ANDAR - SALAS 2301 A  2305,CENTRO,30130905,310620,Belo Horizonte,MG,False,31,98148128,31,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/419907'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
417424,AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA,AFFIX BENEFÍCIOS,11.158.465/0001-91,417424,11158465000191,AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA,AFFIX BENEFÍCIOS,True,pedro.rezende@affixbeneficios.com.br,,PEDRO AUGUSTO BARQUETE DE REZENDE,SóCIO ADMINISTRADOR,2010-07-19,2010-07-16,2010-07-16,ADMBN,Administradora de Benefícios,,,Alameda Santos,2441,"Conjuntos 41 e 42, 4º andar, Sala admini",Cerqueira César,01419101,355030,São Paulo,SP,False,11,39952217,11,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/417424'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
368920,AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL,,20.320.487/0001-05,368920,20320487000105,AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL,,True,institucional@agros.org.br,www.agros.org.br,CLAUDIO FURTADO SOARES,DIRETOR PRESIDENTE,2009-11-19,2009-11-18,1998-12-18,AUTOG,Autogestão,AUTSM,Autogestão sem Mantenedor,AVENIDA PURDUE,S/N,,CAMPUS DA UFV,36570900,317130,Viçosa,MG,False,31,38996550,31,38996550,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/368920'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
424285,AIRES OPERADORA DE SAUDE LTDA,AIRES OPERADORA DE SAUDE,57.522.360/0001-70,424285,57522360000170,AIRES OPERADORA DE SAUDE LTDA,AIRES OPERADORA DE SAUDE ,True,jjppcc@gmail.com,https://saudeaires.com.br/,JOSE PEREIRA DA COSTA,ADMINISTRADOR,2025-02-26,2024-12-16,2024-12-16,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,AVENIDA PRESIDENTE KENNEDY,1001.0,BLOCO D,PEIXINHOS,53230971,260960,Olinda,PE,False,81,992463135,81,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/424285'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
417742,ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS,,10.387.254/0001-68,417742,10387254000168,ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS,,True,RODRIGO.PEIXOTO@ALACORO.COM.BR,,ANADIA BIENHACHEWSKI FERREIRA ALVES,DIRETORA PRESIDENTE,2010-12-22,2010-12-20,2010-12-20,ADMBN,Administradora de Benefícios,,,AVENIDA RIO BRANCO,131,10ª ANDAR - PARTE,CENTRO,21040006,330455,Rio de Janeiro,RJ,False,21,25054500,21,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/417742'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
416975,ALCANCE SAÚDE LTDA,ALCANCE SAÚDE,06.258.813/0001-62,416975,06258813000162,ALCANCE SAÚDE LTDA,ALCANCE SAÚDE,True,reginaldo.alcancesaude@gmail.com,www.alcancesaudearacatuba.com.br,VALDECIR DONIZETE LOCATELLI,REPRESENTANTE,2011-12-23,2009-07-03,2009-07-03,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,RUA CUSSY DE ALMEIDA JUNIOR,1931,,SAO JOAO,16025050,350280,Araçatuba,SP,False,,,,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/416975'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
421928,ALICE OPERADORA LTDA.,ALICE,34.266.553/0001-02,421928,34266553000102,ALICE OPERADORA LTDA.,ALICE,True,regulatorio@alice.com.br,,MATHEUS HERMSDORFF MORAES,Diretor,2020-01-30,2019-11-01,2019-11-01,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,Avenida Rebouças ,3535,,Pinheiros,05401400,355030,São Paulo,SP,False,11,41186896,11,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/421928'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
417289,ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA,,07.674.593/0001-10,417289,07674593000110,ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA,,True,ans@allcare.com.br,www.allcare.com.br,FARIAS PEREIRA DE SOUZA,DIRETOR PRESIDENTE,2010-05-17,2010-05-14,2010-05-14,ADMBN,Administradora de Benefícios,,,ALAMEDA SANTOS,1357,2º e 7º ANDAR,JARDIM PAULISTA,01419908,355030,São Paulo,SP,False,11,30039499,11,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/417289'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
417459,ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.,ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE,11.165.556/0001-54,417459,11165556000154,ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.,ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE,True,ans@allcare.com.br,www.allcare.com.br/,FARIAS PEREIRA DE SOUSA ,DIRETOR PRESIDENTE,2010-08-16,2010-07-16,2010-07-16,ADMBN,Administradora de Benefícios,,,SCS QD. 03 BLOCO A,LOTE,107/111,ASA SUL,70303907,530010,Brasília,DF,False,61,30443600,61,30443615,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/417459'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
515,ALLIANZ SAÚDE S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP 404
423262,ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA,ALMA ODONTO,45.568.546/0001-81,423262,45568546000181,ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA,ALMA ODONTO,True,financeiro@almaodonto.com.br,www.almaodonto.com.br,RONYSON RODRIGUES RAMOS DE OLIVEIRA,SÓCIO ADMINISTRADOR,2022-06-28,2022-05-30,2022-05-30,ODGRP,Odontologia de Grupo,ST   ,Segmento terciario - ST,RUA REGENTE FEIJO,712.0,SALA 93 EDIF JOAO PUPO,CENTRO,13013050,350950,Campinas,SP,False,19,31994536,19,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/423262'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
419982,ALPHA DENTAL PLANO DE SAUDE LTDA ME,DENTALMED,20.459.346/0001-60,419982,20459346000160,ALPHA DENTAL PLANO DE SAUDE LTDA ME,DENTALMED,True,financeiro@dentalmednorte.com.br,www.dentalmednorte.com.br,IVAN DALL` STELLA COSTA JÚNIOR,ADMINISTRADOR,2016-03-29,2015-12-09,2015-12-09,ODGRP,Odontologia de Grupo,SOP  ,Segmento proprio - SP,RUA DAS GRAVIOLAS,383,SALA 02,SETOR COMERCIAL ,78550136,510790,Sinop,MT,False,,,,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/419982'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
420255,ALTER ADMINISTRADORA DE BENEFICIOS S.A.,,22.103.116/0001-99,420255,22103116000199,ALTER ADMINISTRADORA DE BENEFICIOS S.A.,,True,dpo@alter.com.br,www.alteradm.com.br,PEDRO AUGUSTO BARQUETE DE REZENDE,ADMINISTRADOR,2016-11-01,2016-10-25,2016-10-25,ADMBN,Administradora de Benefícios,,,Alameda Santos,2441,"4º andar, cjs 41 e 42, sala 01",Cerqueira César,01419101,355030,São Paulo,SP,False,11,39952217,11,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/420255'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
344800,ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS,ALVORECER,62.511.019/0001-50,344800,62511019000150,ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS,ALVORECER,True,regulatorio@bluemedsaude.com.br,,SILVIO JOSÉ FERRAZ TAVARES,PRESIDENTE,2021-03-01,2021-02-12,1999-01-15,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,ALAMEDA SANTOS,1827,11 ANDAR SALA 111,CERQUEIRA CESAR,01419909,355030,São Paulo,SP,False,11,30169409,11,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/344800'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
424234,AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA,AMAZIL,56.307.500/0001-25,424234,56307500000125,AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA,AMAZIL   ,True,leonardo@unimedicasaude.com,,RODRIGO BARBOSA VILHENA ,SÓCIO REPRESENTANTE,2025-02-07,2024-12-02,2024-12-02,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,ESTRADA DO TINDIBA,1630,,TAQUARA,22740362,330455,Rio de Janeiro,RJ,False,21,999434833,21,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/424234'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
419052,AMAZÔNIA PLANOS DE SAÚDE LTDA,PLANO AMAZÔNIA SAÚDE,16.926.969/0001-28,419052,16926969000128,AMAZÔNIA PLANOS DE SAÚDE LTDA,PLANO AMAZÔNIA SAÚDE,True,amasaude@amazoniaplanos.com.br,https://amazoniaplanos.com.br/,GILBERTO OSAMU YAMAMOTO,REPRESENTANTE LEGAL,2014-04-17,2013-10-03,2013-10-03,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,TRAVESSA NOVE DE JANEIRO,1295,,SÃO BRAZ,66060575,150140,Belém,PA,False,91,31847650,91,32495686,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/419052'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
423351,AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.,VIVA VIDA,46.614.535/0001-53,423351,46614535000153,AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.,VIVA VIDA,True,financeiro@operadoravivavida.com.br,www.operadoravivavida.com.br,ROMILDA VIANA DE PAES,SOCIO - ADMINISTRADOR,2023-01-30,2022-10-03,2022-10-03,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,AVENIDA CALAMA,2715,SALA 2715C,LIBERDADE ,76803883,110020,Porto Velho,RO,False,69,93324444,69,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/423351'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
304531,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,AME-SISTEMA DE SAÚDE 24 HORAS,17.143.876/0001-90,304531,17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,AME-SISTEMA DE SAÚDE 24 HORAS,True,amesaude24h@terra.com.br,www.amesaude24h.com.br,REGINA MARIA AGUIAR DE SOUZA FELLET,DIRETORA ADMINISTRATIVA E FINANCEIRA,2008-03-07,2008-03-06,1998-12-22,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,RUA SAMPAIO,376,,CENTRO,36010360,313670,Juiz de Fora,MG,False,32,21015600,32,32155201,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/304531'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
413330,AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA,AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA,04.257.073/0001-14,413330,04257073000114,AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA,AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA,True,amep.operadora@uol.com.br,www.amepsaude.com.br,ANA MARLI VIDEIRA PEIXOTO FAZZINI,SOCIA GERENTE,2014-05-23,2014-05-21,2001-03-16,MEGRP,Medicina de Grupo,SSP  ,Segmento secundario principal - SSP,RUA ARAGUAIA,13,,JACAREPAGUA,22745270,330455,Rio de Janeiro,RJ,False,21,39104000,21,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/413330'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
394734,AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA,AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.,67.839.969/0001-21,394734,67839969000121,AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA,AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.,True,diretoria.financeira@ameplansaude.com.br,www.ameplansaude.com.br,ALI HUSSEIN  IBRAHIN TAHA,SÓCIO DIRETOR,2007-03-12,2006-07-26,1998-12-24,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,RUA UBATU MIRIM,45,3º ANDAR,VILA GEA,04692010,355030,São Paulo,SP,False,11,33219700,11,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/394734'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
321338,AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A.,AMERON,84.638.345/0001-65,321338,84638345000165,AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A.,AMERON,True,ouvidoria@ameron.com.br,www.ameron.com.br,PAULO ROBERTO DA SILVA,PRESIDENTE,2015-12-18,2006-04-25,1998-12-22,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,AVENIDA CALAMA,2615,PRÉDIO,LIBERDADE,76803884,110020,Porto Velho,RO,False,69,32117199,69,32217157,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/321338'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
401081,AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ,GRUPO CEMERU SAÚDE,68.668.045/0001-72,401081,68668045000172,AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ,GRUPO CEMERU SAÚDE,True,relacionamento.ans@cemeru.com,www.cemeru.com,MAURO GOMES DIAS ,REPRESENTANTE,2015-08-31,2015-08-18,1999-02-24,MEGRP,Medicina de Grupo,SPP  ,Segmento primario principal - SPP,RUA FELIPE CARDOSO,1025,,SANTA CRUZ,23510006,330455,Rio de Janeiro,RJ,False,21,24140013,21,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/401081'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
418587,AMHA SAUDE S/A,AMHA SAUDE S/A,15.131.148/0001-32,418587,15131148000132,AMHA SAUDE S/A,AMHA SAUDE S/A,True,marcos.carvalho@amha.com.br,https://amha.com.br/,JOSE JAIR JAMES DE ARRUDA PINTO,DIRETOR ,2013-05-03,2012-10-08,2012-10-08,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO,141,1º ANDAR,VILA SANTISTA,12941030,350410,Atibaia,SP,False,,,,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/418587'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
