Registro ANS,Razão Social,Nome Fantasia,CNPJ,Logradouro,Complemento,Bairro,CEP,Município,Estado,Telefone 1
321338,AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A.,AMERON,84.638.345/0001-65,"Avenida Sete de Setembro, 2153",,Nossa Senhora das Gracas,76804-123,Porto Velho,Rondônia,(69) 3221-7077
401081,AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ,GRUPO CEMERU SAÚDE,68.668.045/0001-72,"Rua Felipe Cardoso, 1025",,Santa Cruz,23520-571,Rio de Janeiro,Rio de Janeiro,
418587,AMHA SAUDE S/A,AMHA SAUDE S/A,15.131.148/0001-32,"Rua Doutor Luiz Alberto Vieira dos Santos, 141",Andar 1,Vila Santista,12941-030,Atibaia,São Paulo,(11) 4414-6063
421731,AMHE MED ASSISTENCIA A SAUDE LTDA - EPP,AMHE MED,29.174.910/0001-72,"Rua Pedro Jose Senger, 230",,Vila Haro,18015-000,Sorocaba,São Paulo,(15) 3035-1030
326305,AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,AMIL,29.309.127/0001-79,"Avenida Dr Chucri Zaidan, S/N",Edif Tr. B Emp. Ez Towersandar 6-7-8-9-16-20 e 23,Vila Sao Francisco (Zona Sul),04711-130,São Paulo,São Paulo,(21) 3805-1000
325465,AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA,AMPARA,20.946.877/0001-87,"Praca Comendador Joao Pio de Figueiredo Westin, 107",,Mocoquinha,37957-148,São Sebastião do Paraíso,Minas Gerais,(35) 3531-6516
422720,AMPLA PLANOS DE SAUDE LTDA,AMPLA,41.077.489/0001-87,"Avenida Nilo Pecanha, 00050",Grp 2501,Centro,20020-906,Rio de Janeiro,Rio de Janeiro,(21) 3620-0627
423858,AMPLITUDE PLANOS DE SAUDE LTDA,VYDA SAUDE,43.047.552/0001-68,"Rua Inconfidencia, 488",Sala 201,Centro,32600-100,Betim,Minas Gerais,(31) 3923-5406
423319,ANAFE SAUDE,ANAFE SAUDE,45.981.176/0001-00,"Quadra Quadra 2, Lote03",Andar 1 Parte 09,Jardim da Barragem I,72920-004,Águas Lindas de Goiás,Goiás,(61) 3226-9991
421871,ANGELI SISTEMAS DE SAUDE S.A.,,03.013.779/0001-78,"Rodovia Rodovia do Caqui, 1150",,Aracatuba,83430-000,Campina Grande do Sul,Paraná,(41) 3015-4098
424366,AP ADMINISTRAÇÃO DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA,AP ADMINISTRAÇÃO DE BENEFICIOS SOCIEDADE SIMPLES LIMITADA,55.081.563/0001-43,"Rua Sete de Abril, 277",Conj 11 e 12,Centro,01043-906,São Paulo,São Paulo,(11) 3124-7255
400882,ÁPICE ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA,ÁPICE-ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA.,02.811.372/0001-23,"Rua Fioravante Sicchieri, 1194",,Centro,14160-770,Sertãozinho,São Paulo,(16) 3945-9143
422932,APLUS ADMINISTRADORA DE BENEFICIOS LTDA,,35.808.498/0001-06,"Avenida Presidente Vargas, 00534",Sal 1501,Centro,20071-000,Rio de Janeiro,Rio de Janeiro,(21) 3553-1692
418030,A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.,A.P.S. SAÚDE.,13.138.885/0001-31,"Rua Voluntarios da Patria, 2525",Conj 143 Sala 01,Santana,02401-000,São Paulo,São Paulo,(11) 3237-3650
421693,AQQUER - ADMINISTRADORA DE BENEFÍCIOS LTDA,AQQUER ADMINISTRADORA,30.902.499/0001-93,"Rua Barao de Melgaco, 2754",,Centro,78020-973,Cuiabá,Mato Grosso,(65) 3622-4577
416070,ARCELORMITTAL BRASIL S/A,ARCELORMITTAL BRASIL S/A,17.469.701/0001-77,"Avenida Carandai, 1115",Andar 24,Funcionarios,30130-915,Belo Horizonte,Minas Gerais,(31) 3219-1485
422941,ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.,ARL ADMINISTRADORA DE BENEFÍCIOS,41.715.325/0001-38,"Alameda Santos, 1827",Andar 18 Conj 181 Sala 2,Cerqueira Cesar,01419-909,São Paulo,São Paulo,(11) 4765-2110
352152,ARM PLANOS ODONTOLÓGICOS LTDA.,ARM ODONTOLOGIA,00.743.507/0001-35,"Rua Loefgren, 1291",Conj 62,Vila Clementino,04040-031,São Paulo,São Paulo,(11) 3459-4930
424340,ARTYODONTO BRASIL  PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA,ARTYODONTO BRASIL,57.267.292/0001-40,"Avenida Pedro Paes de Azevedo, 615",Loja 03,Grageru,49025-570,Aracaju,Sergipe,(82) 3021-4141
417769,ASSISTE ADMINISTRADORA DE BENEFÍCIOS LTDA,ASSISTE,12.080.518/0001-61,"Rua Joao Hipolito de Azevedo, 18",Sala 3 Terreo,Centro,44245-000,Conceição do Jacuípe,Bahia,(75) 3243-2937
325236,ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA,SÃO MIGUEL SAÚDE,66.854.779/0001-10,"Rua Alvaro Correa Borges, 43",Edif Gilberto M Mellace,Vila Doutor Eiras,08010-200,São Paulo,São Paulo,(11) 2182-2400
423912,ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA,,53.249.803/0001-40,"Rua Presidente Prudente, 267",Andar 2,Jardim Sao Paulo,07110-140,Guarulhos,São Paulo,(11) 4966-5132
365297,ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA,RISO PLANO ODONTOLOGICO,01.872.588/0001-36,"Avenida Da Universidade, Area B;, 28",Pavmtosuperior Quadra03,Cohafuma,65070-650,São Luís,Maranhão,(98) 3313-9999
423432,"ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE",ADUFEPE SAÚDE,47.325.263/0001-34,"Rua Bom Pastor, 430",Sala 0011 Galeria Marcela Center,Iputinga,50670-260,Recife,Pernambuco,(81) 99967-9423
406554,ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE,PROASA SAÚDE,83.367.342/0001-71,"Rodovia Mario Covas, 400",,Coqueiro,67115-000,Ananindeua,Pará,(91) 3214-4500
411752,ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE,CRUZ AZUL SAÚDE,03.849.449/0001-17,"Rua Albuquerque Maranhao, 72",,Cambuci,01540-020,São Paulo,São Paulo,(11) 3388-5028
322326,ASSOCIAÇÃO BENEFICENTE CATÓLICA,HOSPITAL SANTA ISABEL,25.335.803/0001-28,"Rua Frei Cornelio, 200",,Laurindo de Castro,36507-140,Ubá,Minas Gerais,(32) 3539-1029
304131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),SAÚDE ABAS,02.030.246/0001-31,"Rua Barao de Jaguara, 707",Sala 101 A 104 Bloco Mozart,Centro,13015-926,Campinas,São Paulo,(19) 3733-5060
382540,ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI,APPAI,31.240.963/0001-96,"Rua Senador Dantas, 117",Slj 210/13 S.201/244,Centro,20031-202,Rio de Janeiro,Rio de Janeiro,
409634,ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA,PRO-SAUDE,73.565.319/0001-38,"Rua Senador Pinheiro Machado, 446",,Centro,84010-310,Ponta Grossa,Paraná,(42) 3224-9108
417947,ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO,SANTA CASA SAÚDE DE RIBEIRÃO PRETO,10.935.483/0001-70,"Avenida Meira Junior, 585",,Campos Eliseos,14085-230,Ribeirão Preto,São Paulo,(16) 3977-8868
416690,ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS,AMAGIS SAÚDE,07.781.345/0001-79,"Rua Albita, 194",,Cruzeiro,30310-160,Belo Horizonte,Minas Gerais,(31) 3284-3499
416568,ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA,COPASS SAÚDE,08.202.035/0001-15,"Rua Carangola, 531",,Santo Antonio,30330-240,Belo Horizonte,Minas Gerais,(31) 2112-5200
417955,ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ,JUDICEMED,07.945.024/0001-62,"Rua Alberto Folloni, 543",Andar: 3 Andar;,Ahu,80540-000,Curitiba,Paraná,(41) 3017-1600
314218,ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO,,60.975.174/0001-00,"Rua Americo Ventura, 123",,Alto da Mooca,03128-020,São Paulo,São Paulo,(11) 2029-7416
422321,ASSOCIAÇÃO DE SAÚDE DO VALE,LEVMED SAÚDE,35.657.268/0001-85,"Rua Presidente Epitacio Pessoa, 651",,Centro,89251-100,Jaraguá do Sul,Santa Catarina,(47) 3512-4100
418731,ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO,HFC SAÚDE,15.022.430/0001-81,"Rua Rafael Aloisi, 51",,Vila Rezende,13405-205,Piracicaba,São Paulo,(19) 3429-7317
360783,ASSOCIACAO DE SAUDE HOLAMBRA,ASSOCIAÇÃO DE SAÚDE HOLAMBRA,59.007.799/0001-90,"Alameda Mauricio de Nassau, 241",,Centro,13825-000,Holambra,São Paulo,(19) 3802-2049
417530,ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA,SAÚDE BENEFICÊNCIA,11.939.445/0001-58,"Rua Tiradentes, 293",Conj 51 A 54 Lote 5A,Vila Itapura,13023-190,Campinas,São Paulo,(19) 3237-2124
393533,ASSOCIAÇÃO DO FISCO DE ALAGOAS,,12.317.012/0001-23,"Rua Manoel Menezes, 329",,Pinheiro,57055-690,Maceió,Alagoas,
420000,ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL,PLANSUL,15.713.057/0001-05,"Rua Santa Cruz, S/N",,Fatima,45603-305,Itabuna,Bahia,(73) 3214-9123
317632,ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP,62.635.990/0001-91,"Avenida Brigadeiro Luiz Antonio, 4843",,Jardim Paulista,01401-002,São Paulo,São Paulo,(11) 3886-8830
387185,ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO,AFRERJ,34.011.288/0001-11,"Rua Sete de Setembro, 55",Salas 2501 A 2509,Centro,20050-004,Rio de Janeiro,Rio de Janeiro,
330281,ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP,AFRAFEP - SAUDE,09.306.242/0001-82,"Rua Coralio Soares de Oliveira, 497",Sala 02,Centro,58013-260,João Pessoa,Paraíba,(83) 3533-5310
384704,ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC,ASSEC,13.170.410/0001-22,"Avenida Adella Franco, 3035",Sede,Distrito Industrial,49027-010,Aracaju,Sergipe,
382639,ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC,AFISVEC - SAÚDE,92.911.056/0001-16,"Rua Uruguai, 155",Conj. 1010,Centro,90010-140,Porto Alegre,Rio Grande do Sul,
306754,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,AFFEGO-SAÚDE,00.299.149/0001-13,"Rua 83, 218",,Set Sul,74083-195,Goiânia,Goiás,(62) 3291-9454
388092,ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM,AFFEAM SAÚDE,04.503.249/0001-70,"Rua Franco de SA, 430",,Sao Francisco,69079-210,Manaus,Amazonas,(92) 3611-4380
417599,ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL,VERTE SAUDE - AFPERGS,92.741.016/0001-73,"Rua Andradas, 846",,Centro,90020-006,Porto Alegre,Rio Grande do Sul,(51) 3284-1544
343129,ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA,APUB SAÚDE,13.100.755/0001-00,"Avenida Antonio Carlos Magalhaes, 2501, 3213",Sala 405 406 407 E408,Brotas,40280-901,Salvador,Bahia,(71) 2103-9230
420093,ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM,ASSEM,13.083.167/0001-05,"Avenida Doutor Carlos Rodrigues da Cruz, 401",,Capucho,49081-015,Aracaju,Sergipe,(79) 3259-3150
335754,ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA,ASFEB,14.799.035/0001-47,"Rua Doutor Jose Peroba, 149",Edif: Centro Emp Eldorado ; Andar: 1 e 9 And; Sala: 101 102 e 902;,Stiep,41770-235,Salvador,Bahia,(71) 2201-2213
309028,"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO",ASSIST,29.167.970/0001-68,"Rua Senador Dantas, 00045",Loj A,Centro,20031-202,Rio de Janeiro,Rio de Janeiro,(21) 3553-3873
419591,ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ,ASPARÁ,20.160.828/0001-14,"Avenida Senador Lemos, 904",,Umarizal,66050-000,Belém,Pará,(91) 3225-1521
342556,ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI,PLANO DE SAÚDE TACCHIMED,87.547.444/0001-20,"Rua Doutor Jose Mario Monaco, 358",,Centro,95700-068,Bento Gonçalves,Rio Grande do Sul,(54) 3455-4333
326755,ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA,PLANO DE SAUDE HOSPITALAR,78.613.841/0001-61,"Avenida Bandeirantes, 618",,Jd Londrilar,86015-900,Londrina,Paraná,(43) 0378-1000
422053,ASSOCIAÇÃO FCA SAÚDE,STELLANTIS SAUDE PE/PB,33.922.160/0001-47,"Avenida Contorno, 3455",Galpao8 Sala 36 Parte A,Paulo Camilo Sul,32669-900,Betim,Minas Gerais,(31) 3888-7100
416584,ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE,FUPS,08.883.265/0001-97,"Rua Fioravante Joao Ferri, 99",Caixa Postal 460,Jardim Alvorada,87308-445,Campo Mourão,Paraná,(44) 3599-8790
402206,ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO,AGMP,02.220.135/0001-98,"Rua T 29, 1758",,St Bueno,74215-050,Goiânia,Goiás,
421618,ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL,HOSPITAL SAÚDE,30.724.638/0001-36,"Praca Nossa Senhora Aparecida, 61",Sala 01,Nossa Senhora Aparecida,13880-000,Vargem Grande do Sul,São Paulo,(19) 3641-9300
423807,ASSOCIAÇÃO HOSPITALAR MOINHOS DE VENTO,HOSPITAL MOINHOS DE VENTO,92.685.833/0001-51,"Rua Ramiro Barcelos, 910",,Moinhos de Vento,90035-001,Porto Alegre,Rio Grande do Sul,(51) 3314-3545
419150,ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA,MAIS SAÚDE SANTA CASA,15.323.270/0001-00,"Rua Sao Lucas, 21",Terreoterreo Andar 2,Perpetuo Socorro,13870-529,São João da Boa Vista,São Paulo,(19) 3634-4444
417211,ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO,AMMP SAÚDE,11.177.786/0001-33,"Rua Dos Timbiras, 2928",Andar: 3;,Barro Preto,30140-062,Belo Horizonte,Minas Gerais,(31) 3112-9859
420158,ASSOCIAÇÃO PADRE ALBINO SAÚDE,PADRE ALBINO SAUDE,23.869.306/0001-84,"Rua Belem, 423",,Centro,15800-280,Catanduva,São Paulo,(17) 3311-3238
420816,ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE,PADRE PIO PLANOS DE SAÚDE,25.141.173/0001-50,"Rua Jose Antunes Azevedo Filho, 70",,Jardim Nova Italia,13484-401,Limeira,São Paulo,(19) 3554-3434
418617,ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ,PROMED,12.049.486/0001-31,"Rua Mateus Leme, 2018",,Centro Civico,80530-010,Curitiba,Paraná,(41) 3352-2855
422631,ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS,,39.427.632/0001-71,"Avenida Republica do Chile, 00065",Sal 302,Centro,20031-170,Rio de Janeiro,Rio de Janeiro,(21) 3224-8046
419974,ASSOCIAÇÃO PLAME DE SAÚDE,PLAMESC- PLANO MÉDICO SANTA CASA,19.512.026/0001-47,"Rua Sao Sebastiao, 32",,Centro,27345-480,Barra Mansa,Rio de Janeiro,(24) 3323-3775
419958,ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS,PSC SAÚDE - ASSISTÊNCIA MEDICA,20.961.779/0001-19,"Avenida Onze de Agosto, 1451",Sala 607 A 611,Jardim Ribeiro,13270-190,Valinhos,São Paulo,(19) 3829-6699
409413,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE,APAS FERNANDOPOLIS,00.444.803/0001-35,"Avenida Libero de Almeida Silvares, 3014",,Coester,15600-001,Fernandópolis,São Paulo,(17) 3442-1703
406813,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,APAS ANDRADINA,59.766.105/0001-07,"Rua Sao Paulo, 757",,Centro,16901-450,Andradina,São Paulo,
410128,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,APAS SAÚDE SOROCABA,71.559.272/0001-74,"Rua Conde D'eu, 292",,Jardim Vergueiro,18030-040,Sorocaba,São Paulo,(15) 3331-7092
406937,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,APAS/MARILIA,57.272.510/0001-35,"Rua Rio Grande do Sul, 121",,Centro,17509-130,Marília,São Paulo,
409405,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA,APAS VALE  DO RIBEIRA,00.642.842/0001-47,"Rua Shitiro Maeji, 619",,Centro,11900-000,Registro,São Paulo,(13) 3821-2233
423203,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS,APAS ASSIS,00.841.848/0001-43,"Rua Sao Paulo, 303",,Vila Xavier,19802-001,Assis,São Paulo,
410110,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA,APAS BAIXADA SANTISTA,00.034.259/0001-53,"Rua Carvalho de Mendonca, 335",,Vila Belmiro,11070-101,Santos,São Paulo,(13) 3224-5753
414212,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS),ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA,59.762.062/0001-83,"Rua Rio de Janeiro, 120",,Vl Mendonca,16015-150,Araçatuba,São Paulo,(18) 3623-5389
407569,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS,APAS- BARRETOS,72.916.364/0001-27,"Avenida 23, 1337",,Centro,14780-320,Barretos,São Paulo,(17) 3322-5133
406945,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU,APAS BAURU,00.147.571/0001-53,"Rua Maria Jose, 1-71",,Centro,17015-440,Bauru,São Paulo,
408093,ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU,APAS-BOTUCATU,66.493.339/0001-85,"Rua Prudente de Moraes, 217",,Centro,18602-060,Botucatu,São Paulo,
408026,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA,APAS DE DRACENA,00.665.690/0001-06,"Rua Princesa Isabel, 1215",,Centro,17900-000,Dracena,São Paulo,
